"student_id","date","program","location","score_reading","score_writing","score_mathNoCalc","score_mathCalc"
900021,2023-08-15,"intake","center",568,36,581,338
900021,2023-10-07,"skills","center",567,36,591,338
900028,2023-08-15,"intake","center",592,50,314,607
900028,2023-09-28,"skills","center",603,51,322,613
900029,2023-08-15,"intake","center",513,37,430,555
900029,2023-09-27,"skills","center",532,40,458,584
900030,2023-08-15,"intake","center",637,51,369,583
900030,2023-09-27,"skills","center",647,51,379,590
900040,2023-08-15,"intake","center",469,48,604,515
900040,2023-10-01,"skills","center",490,50,644,546
900041,2023-08-15,"intake","center",648,59,300,545
900041,2023-10-01,"skills","center",668,62,321,584
900042,2023-08-15,"intake","center",646,39,369,539
900042,2023-10-02,"skills","center",644,40,381,546
900055,2023-08-15,"intake","center",541,62,693,489
900055,2023-09-29,"skills","center",568,66,738,521
900060,2023-08-15,"intake","center",480,56,276,279
900060,2023-10-03,"skills","center",509,58,297,298
900064,2023-08-15,"intake","center",548,52,697,531
900064,2023-10-01,"skills","center",564,54,777,576
900084,2023-08-15,"intake","center",531,59,643,551
900084,2023-09-28,"skills","center",539,61,681,566
900087,2023-08-15,"intake","center",686,58,403,743
900087,2023-09-28,"skills","center",714,61,432,797
900100,2023-08-15,"intake","center",620,62,696,351
900100,2023-10-07,"skills","center",621,62,712,361
900114,2023-08-15,"intake","center",648,25,375,457
900114,2023-10-02,"skills","center",665,26,391,471
900115,2023-08-15,"intake","center",512,43,379,352
900115,2023-09-30,"skills","center",541,45,400,372
900116,2023-08-15,"intake","center",666,42,643,748
900116,2023-09-26,"skills","center",674,43,665,784
900117,2023-08-15,"intake","center",657,22,401,579
900117,2023-10-04,"skills","center",662,22,410,595
900126,2023-08-15,"intake","center",616,46,429,671
900126,2023-10-01,"skills","center",618,46,441,673
900138,2023-08-15,"intake","center",559,55,408,376
900138,2023-09-26,"skills","center",573,56,446,416
900156,2023-08-15,"intake","center",674,37,485,398
900156,2023-10-01,"skills","center",716,38,530,431
900158,2023-08-15,"intake","center",693,35,377,514
900158,2023-10-03,"skills","center",699,36,388,523
900159,2023-08-15,"intake","center",679,65,587,699
900159,2023-10-04,"skills","center",689,67,639,773
900172,2023-08-15,"intake","center",541,53,364,500
900172,2023-09-29,"skills","center",546,55,378,512
900176,2023-08-15,"intake","center",512,57,277,633
900176,2023-10-04,"skills","center",533,61,293,672
900190,2023-08-15,"intake","center",772,40,633,610
900190,2023-10-04,"skills","center",778,42,681,662
900194,2023-08-15,"intake","center",508,48,389,591
900194,2023-09-24,"skills","center",530,49,427,641
900196,2023-08-15,"intake","center",629,61,543,521
900196,2023-09-30,"skills","center",636,61,557,532
900204,2023-08-15,"intake","center",454,81,384,300
900204,2023-09-30,"skills","center",459,80,394,306
900208,2023-08-15,"intake","center",682,37,407,350
900208,2023-10-05,"skills","center",704,40,428,376
900211,2023-08-15,"intake","center",534,57,419,605
900211,2023-10-05,"skills","center",543,59,452,658
900212,2023-08-15,"intake","center",569,72,506,575
900212,2023-10-03,"skills","center",573,74,520,579
900218,2023-08-15,"intake","center",532,54,614,327
900218,2023-10-05,"skills","center",546,56,675,355
900223,2023-08-15,"intake","center",560,59,276,546
900223,2023-09-27,"skills","center",585,62,291,583
900226,2023-08-15,"intake","center",562,61,445,486
900226,2023-10-05,"skills","center",574,60,455,496
900228,2023-08-15,"intake","center",505,62,247,711
900228,2023-10-04,"skills","center",503,63,253,724
900231,2023-08-15,"intake","center",674,60,348,669
900231,2023-10-01,"skills","center",683,62,379,728
900247,2023-08-15,"intake","center",440,63,514,587
900247,2023-09-26,"skills","center",450,65,564,629
900254,2023-08-15,"intake","center",580,34,307,734
900254,2023-09-30,"skills","center",577,34,315,735
900258,2023-08-15,"intake","center",559,59,407,433
900258,2023-10-02,"skills","center",571,60,427,442
900260,2023-08-15,"intake","center",667,34,168,433
900260,2023-10-01,"skills","center",673,35,168,444
900273,2023-08-15,"intake","center",696,74,471,698
900273,2023-10-03,"skills","center",727,77,503,732
900276,2023-08-15,"intake","center",629,46,406,362
900276,2023-09-30,"skills","center",632,47,412,366
900278,2023-08-15,"intake","center",710,43,622,363
900278,2023-10-02,"skills","center",710,43,629,359
900291,2023-08-15,"intake","center",555,59,696,543
900291,2023-09-29,"skills","center",582,63,731,575
900292,2023-08-15,"intake","center",616,80,536,755
900292,2023-09-30,"skills","center",634,81,545,775
900303,2023-08-15,"intake","center",506,52,318,313
900303,2023-10-01,"skills","center",522,53,349,342
900317,2023-08-15,"intake","center",574,73,460,438
900317,2023-09-27,"skills","center",607,77,487,461
900319,2023-08-15,"intake","center",607,50,367,521
900319,2023-09-27,"skills","center",617,51,373,535
900338,2023-08-15,"intake","center",692,41,455,766
900338,2023-09-27,"skills","center",690,41,465,773
900344,2023-08-15,"intake","center",764,31,358,693
900344,2023-10-06,"skills","center",800,32,388,734
900355,2023-08-15,"intake","center",758,46,579,494
900355,2023-10-04,"skills","center",775,47,641,532
900366,2023-08-15,"intake","center",602,42,398,399
900366,2023-10-02,"skills","center",613,43,439,437
900368,2023-08-15,"intake","center",361,39,442,445
900368,2023-10-02,"skills","center",381,40,476,470
900376,2023-08-15,"intake","center",461,44,648,610
900376,2023-10-05,"skills","center",481,46,698,647
900378,2023-08-15,"intake","center",629,36,575,515
900378,2023-10-03,"skills","center",652,37,638,557
900382,2023-08-15,"intake","center",628,44,518,421
900382,2023-10-05,"skills","center",641,45,570,457
900383,2023-08-15,"intake","center",602,58,566,607
900383,2023-10-06,"skills","center",610,60,626,662
900386,2023-08-15,"intake","center",713,56,600,472
900386,2023-09-30,"skills","center",713,58,620,498
900388,2023-08-15,"intake","center",514,53,643,624
900388,2023-09-30,"skills","center",540,56,674,659
900396,2023-08-15,"intake","center",566,52,723,710
900396,2023-09-28,"skills","center",589,55,757,769
900397,2023-08-15,"intake","center",672,50,637,592
900397,2023-10-02,"skills","center",702,53,671,620
900414,2023-08-15,"intake","center",613,28,451,785
900430,2023-08-15,"intake","center",699,50,374,287
900430,2023-09-28,"skills","center",731,52,387,304
900437,2023-08-15,"intake","center",702,65,672,689
900437,2023-09-29,"skills","center",718,66,690,713
900470,2023-08-15,"intake","center",426,37,433,681
900470,2023-10-06,"skills","center",445,38,464,729
900475,2023-08-15,"intake","center",484,44,329,519
900475,2023-10-02,"skills","center",482,45,338,539
900481,2023-08-15,"intake","center",800,38,286,583
900484,2023-08-15,"intake","center",663,30,646,452
900484,2023-09-29,"skills","center",676,31,711,501
900518,2023-08-15,"intake","center",647,17,626,669
900518,2023-10-04,"skills","center",682,18,671,718
900538,2023-08-15,"intake","center",605,47,560,626
900538,2023-10-03,"skills","center",616,48,577,641
900539,2023-08-15,"intake","center",656,56,322,654
900539,2023-09-29,"skills","center",675,57,345,719
900540,2023-08-15,"intake","center",605,62,361,569
900540,2023-10-02,"skills","center",634,65,380,596
900543,2023-08-15,"intake","center",548,54,387,434
900543,2023-10-03,"skills","center",562,55,401,445
900544,2023-08-15,"intake","center",691,64,351,493
900544,2023-09-30,"skills","center",691,63,355,499
900547,2023-08-15,"intake","center",534,38,448,613
900547,2023-10-03,"skills","center",568,40,470,658
900550,2023-08-15,"intake","center",415,31,383,678
900550,2023-09-28,"skills","center",430,31,413,750
900559,2023-08-15,"intake","center",574,62,302,489
900559,2023-09-29,"skills","center",605,63,321,509
900563,2023-08-15,"intake","center",530,59,336,564
900563,2023-09-27,"skills","center",540,60,375,621
900568,2023-08-15,"intake","center",689,69,348,447
900568,2023-10-05,"skills","center",719,72,372,472
900578,2023-08-15,"intake","center",450,87,703,627
900578,2023-10-01,"skills","center",467,90,766,685
900580,2023-08-15,"intake","center",384,63,561,647
900580,2023-10-03,"skills","center",394,64,575,666
900585,2023-08-15,"intake","center",705,60,461,603
900585,2023-09-30,"skills","center",721,61,476,614
900588,2023-08-15,"intake","center",681,66,410,442
900588,2023-09-27,"skills","center",722,70,436,465
900598,2023-08-15,"intake","center",464,37,299,535
900598,2023-10-05,"skills","center",472,39,325,586
900606,2023-08-15,"intake","center",370,58,507,736
900606,2023-10-08,"skills","center",387,59,554,793
900628,2023-08-15,"intake","center",526,80,665,555
900628,2023-09-29,"skills","center",520,81,674,559
900633,2023-08-15,"intake","center",693,38,539,618
900633,2023-09-29,"skills","center",694,38,561,650
900655,2023-08-15,"intake","center",771,32,676,557
900655,2023-09-29,"skills","center",776,33,696,572
900657,2023-08-15,"intake","center",538,40,513,606
900657,2023-10-01,"skills","center",552,41,563,665
900665,2023-08-15,"intake","center",546,32,372,606
900665,2023-09-30,"skills","center",566,34,395,644
900667,2023-08-15,"intake","center",452,38,535,270
900667,2023-10-05,"skills","center",477,40,567,285
900669,2023-08-15,"intake","center",653,46,546,444
900669,2023-10-03,"skills","center",658,47,561,458
900672,2023-08-15,"intake","center",435,71,271,419
900672,2023-10-03,"skills","center",441,72,278,432
900678,2023-08-15,"intake","center",624,35,594,423
900678,2023-09-29,"skills","center",620,35,603,433
900703,2023-08-15,"intake","center",695,52,368,588
900703,2023-09-30,"skills","center",717,54,404,645
900704,2023-08-15,"intake","center",684,49,325,426
900704,2023-09-30,"skills","center",712,51,346,455
