"student_id","district"
948931,"Beaverton"
936883,"Lake Oswego"
901847,"Beaverton"
923264,"Riverdale"
952304,"Wilsonville"
939760,"Riverdale"
919908,"Sherwood"
940898,"Lake Oswego"
904336,"Ridgefield"
939727,"Lake Oswego"
918020,"Beaverton"
907072,"Beaverton"
910882,"Lake Oswego"
902401,"Camas"
903102,"Beaverton"
943853,"Camas"
908304,"Sherwood"
917679,"Riverdale"
929616,"Sherwood"
941793,"Riverdale"
909231,"Wilsonville"
915606,"Lake Oswego"
934066,"Beaverton"
923694,"Sherwood"
945208,"Lake Oswego"
919907,"St. Paul"
935790,"St. Paul"
920777,"Sherwood"
924325,"Lake Oswego"
907714,"Sherwood"
953944,"Wilsonville"
956971,"Beaverton"
912768,"Lake Oswego"
942353,"St. Paul"
928541,"Ridgefield"
954302,"Lake Oswego"
945828,"Wilsonville"
915613,"St. Paul"
946119,"Lake Oswego"
958440,"Wilsonville"
924318,"Ridgefield"
952186,"Beaverton"
908391,"Lake Oswego"
947051,"Camas"
907820,"Lake Oswego"
927952,"Beaverton"
907879,"St. Paul"
947632,"Lake Oswego"
905339,"Sherwood"
909118,"St. Paul"
918384,"Ridgefield"
926607,"Camas"
924232,"Sherwood"
940962,"Beaverton"
928789,"St. Paul"
951744,"Sherwood"
915041,"Beaverton"
951796,"Sherwood"
902744,"Lake Oswego"
931575,"Wilsonville"
954271,"Camas"
949364,"Sherwood"
943648,"Sherwood"
945341,"Wilsonville"
903598,"Camas"
903391,"Lake Oswego"
935440,"Lake Oswego"
956317,"St. Paul"
940652,"Camas"
956056,"Beaverton"
901414,"Beaverton"
901392,"Riverdale"
933335,"Sherwood"
906441,"Ridgefield"
928378,"St. Paul"
960332,"Wilsonville"
916679,"Lake Oswego"
914651,"Wilsonville"
914604,"Lake Oswego"
928391,"Sherwood"
924702,"Wilsonville"
948471,"St. Paul"
923461,"Wilsonville"
939816,"Lake Oswego"
933980,"Camas"
934413,"Beaverton"
931366,"Sherwood"
917750,"Beaverton"
907967,"Riverdale"
943969,"Camas"
919133,"Camas"
915559,"Wilsonville"
936534,"Ridgefield"
929958,"Ridgefield"
941505,"Beaverton"
955098,"Riverdale"
941281,"Ridgefield"
926991,"Wilsonville"
929632,"Wilsonville"
904868,"Lake Oswego"
944037,"Sherwood"
951874,"Beaverton"
948909,"Riverdale"
941772,"St. Paul"
908602,"Beaverton"
951019,"Lake Oswego"
933440,"Sherwood"
939826,"St. Paul"
918695,"Beaverton"
915567,"Ridgefield"
949121,"Ridgefield"
911920,"Ridgefield"
955209,"St. Paul"
911987,"Ridgefield"
915167,"Beaverton"
913708,"Riverdale"
928338,"Camas"
942121,"Beaverton"
921217,"Beaverton"
904569,"Wilsonville"
954893,"Beaverton"
908455,"Riverdale"
925141,"Camas"
954927,"Wilsonville"
933364,"Riverdale"
901118,"Sherwood"
904452,"Camas"
955513,"Ridgefield"
912320,"Riverdale"
946816,"Sherwood"
936318,"St. Paul"
925196,"Ridgefield"
938213,"Beaverton"
917624,"Ridgefield"
900826,"Lake Oswego"
950824,"Sherwood"
957738,"Camas"
918479,"Ridgefield"
929990,"Wilsonville"
911201,"Wilsonville"
907434,"Camas"
917352,"Riverdale"
953574,"Camas"
929105,"Sherwood"
958024,"Sherwood"
916309,"Wilsonville"
949952,"Beaverton"
939597,"Sherwood"
917392,"Riverdale"
929070,"Sherwood"
954511,"Beaverton"
941547,"Wilsonville"
956220,"Beaverton"
958083,"Ridgefield"
926971,"Beaverton"
919767,"Camas"
917312,"Sherwood"
930221,"Beaverton"
901189,"Ridgefield"
940288,"Camas"
942947,"Beaverton"
939851,"Beaverton"
910418,"Riverdale"
942703,"Ridgefield"
910670,"Lake Oswego"
902283,"Sherwood"
938570,"Wilsonville"
925431,"Wilsonville"
930037,"Lake Oswego"
949762,"Camas"
924956,"Lake Oswego"
907733,"Beaverton"
915938,"Sherwood"
922169,"Riverdale"
907644,"Lake Oswego"
906303,"Sherwood"
905830,"Beaverton"
929602,"Beaverton"
952868,"Sherwood"
954258,"St. Paul"
941140,"Lake Oswego"
905937,"Riverdale"
930910,"Lake Oswego"
920055,"Beaverton"
913175,"Ridgefield"
948214,"Beaverton"
919313,"Camas"
954235,"Lake Oswego"
902529,"Riverdale"
950479,"Beaverton"
957848,"St. Paul"
924625,"Ridgefield"
959274,"Lake Oswego"
933774,"Wilsonville"
942300,"Ridgefield"
942011,"Wilsonville"
938838,"Beaverton"
907975,"Wilsonville"
943483,"Lake Oswego"
933423,"Lake Oswego"
944088,"Wilsonville"
939968,"Beaverton"
945890,"Lake Oswego"
903336,"Lake Oswego"
